0,0,0,0,0
3,2,2000,0.9375,2
4,2,2000,0.46875,3
5,2,2000,0.48438,66
6,2,2000,0.49219,66
7,2,2000,0.49609,66
3,3,2000,0.90625,6
4,3,2000,0.43945,7
5,3,2000,0.46924,518
6,3,2000,0.4845,518
7,3,2000,0.49222,518
3,4,2000,0.88208,14
4,4,2000,0.41199,15
3,5,2000,0.86041,30
5,4,2000,0.45457,4110
3,2,80,1,0
5,10,80,0,1000
3,2,80,1,0
3,3,80,1,0
7,2,80,1,0
7,3,80,1,0
7,4,80,0.038,73
7,3,80,1,0
7,3,80,1,0
7,3,80,1,0
7,3,80,1,0
7,3,80,1,0
7,3,2000,0.472,11
7,30,2000,0.377,10
7,30,2000,0.41,12
7,30,80,0,1000
7,2,80,1,0
3,5,80,0.097656,6150
3,4,80,0.34375,514
3,4,80,0.362,11
3,4,80,0.357,15
3,4,80,0.32,16
3,4,80,0.333,14
3,4,80,0.35,16
3,4,80,0.34375,19
4,4,80,0.17969,8226
4,4,80,0.167,42
4,4,80,0.166,19
4,4,80,0.166,33
4,4,80,0.174,25
4,4,80,0.178,37
4,4,80,0.188,28
4,4,80,0.161,30
4,4,80,0.178,17
4,4,80,0.18,37
4,4,80,0.181,24
7,80,80,0,1000
7,80,2000,0.258,18
7,80,2000,0.264,16
4,4,80,0.17969,8226
4,3,80,1,0
3,4,80,0.34375,514
3,4,80,0.34375,514
4,4,80,0.17969,8226
4,5,80,0.025879,1.9681e+05
7,3,80,1,0
